+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    long                                                                                    |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol      | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| RENUSDT     | 0.0007075     | 0.001139    | 39.75         | 0.01482      | 0.01409     | 0.1394         | 0.9353                 | 0.002079     | 942.71  | -57518.0007075 |
| LITUSDT     | 0.0006854     | 0.00152     | 56.07         | 0.01737      | 0.01768     | 0.1468         | 0.9028                 | 0.004681     | 814.71  | -57518.0006854 |
| SANDUSDT    | 0.0006758     | 0.002088    | 58.08         | 0.01209      | 0.01289     | 0.1468         | 0.9239                 | 0.00293      | 838.71  | -57518.0006758 |
| MASKUSDT    | 0.0006546     | 0.001192    | 63.13         | 0.01434      | 0.01328     | 0.1463         | 0.9516                 | 0.001712     | 624.85  | -57518.0006546 |
| LTCUSDT     | 0.0006146     | 0.001027    | 52.32         | 0.01401      | 0.01363     | 0.1481         | 0.9301                 | 0.002604     | 1220.66 | -57518.0006146 |
| ALICEUSDT   | 0.0006132     | 0.001611    | 60.72         | 0.01871      | 0.0182      | 0.1401         | 0.9248                 | 0.003356     | 788.87  | -57518.0006132 |
| KAVAUSDT    | 0.0005916     | 0.001722    | 24.47         | 0.01471      | 0.01384     | 0.142          | 0.9228                 | 0.002765     | 1019.7  | -57518.0005916 |
| CRVUSDT     | 0.0005635     | 0.001372    | 50.53         | 0.01999      | 0.01834     | 0.1496         | 0.9253                 | 0.004132     | 984.71  | -57518.0005635 |
| OGNUSDT     | 0.0005501     | 0.001785    | 53.92         | 0.01085      | 0.01317     | 0.1348         | 0.9194                 | 0.002807     | 772.71  | -57518.0005501 |
| ICXUSDT     | 0.0005396     | 0.001175    | 54.57         | 0.01828      | 0.01529     | 0.1444         | 0.9319                 | 0.002755     | 970.71  | -57518.0005396 |
| BAKEUSDT    | 0.0005222     | 0.001366    | 52.05         | 0.01467      | 0.01584     | 0.149          | 0.9062                 | 0.003702     | 724.71  | -57518.0005222 |
| BLZUSDT     | 0.0005133     | 0.001152    | 51.65         | 0.01899      | 0.01721     | 0.1347         | 0.9145                 | 0.003179     | 966.7   | -57518.0005133 |
| BALUSDT     | 0.0004805     | 0.001578    | 46.85         | 0.01049      | 0.009521    | 0.08924        | 0.9486                 | 0.001531     | 982.71  | -57518.0004805 |
